dataset,expression,chain_of_thought,answer
train,(20 + 17),"[""Compute 20 + 17 = 37.""]",37
train,((37 * 39) - (4 * 46)),"[""Compute 37 * 39 = 1443."", ""Compute 4 * 46 = 184."", ""Compute 1443 - 184 = 1259.""]",1259
train,((19 * 38) * (5 - 35)),"[""Compute 19 * 38 = 722."", ""Compute 5 - 35 = -30."", ""Compute 722 * -30 = -21660.""]",-21660
train,(39 * 30),"[""Compute 39 * 30 = 1170.""]",1170
train,((15 - 16) + (9 + 20)),"[""Compute 15 - 16 = -1."", ""Compute 9 + 20 = 29."", ""Compute -1 + 29 = 28.""]",28
train,((41 * 25) - (34 + 18)),"[""Compute 41 * 25 = 1025."", ""Compute 34 + 18 = 52."", ""Compute 1025 - 52 = 973.""]",973
train,((8 * 26) + (33 * 1)),"[""Compute 8 * 26 = 208."", ""Compute 33 * 1 = 33."", ""Compute 208 + 33 = 241.""]",241
train,(32 * 40),"[""Compute 32 * 40 = 1280.""]",1280
train,((3 * 28) * (23 * 8)),"[""Compute 3 * 28 = 84."", ""Compute 23 * 8 = 184."", ""Compute 84 * 184 = 15456.""]",15456
train,(24 * 34),"[""Compute 24 * 34 = 816.""]",816
train,((19 + 24) - (47 * 47)),"[""Compute 19 + 24 = 43."", ""Compute 47 * 47 = 2209."", ""Compute 43 - 2209 = -2166.""]",-2166
train,((4 - 20) + (38 + 29)),"[""Compute 4 - 20 = -16."", ""Compute 38 + 29 = 67."", ""Compute -16 + 67 = 51.""]",51
train,((42 + 8) * (34 + 6)),"[""Compute 42 + 8 = 50."", ""Compute 34 + 6 = 40."", ""Compute 50 * 40 = 2000.""]",2000
train,((21 + 25) * (34 * 20)),"[""Compute 21 + 25 = 46."", ""Compute 34 * 20 = 680."", ""Compute 46 * 680 = 31280.""]",31280
train,(17 - 7),"[""Compute 17 - 7 = 10.""]",10
train,((33 - 49) * (12 * 41)),"[""Compute 33 - 49 = -16."", ""Compute 12 * 41 = 492."", ""Compute -16 * 492 = -7872.""]",-7872
train,(31 + 43),"[""Compute 31 + 43 = 74.""]",74
train,(13 + 11),"[""Compute 13 + 11 = 24.""]",24
train,(17 + 31),"[""Compute 17 + 31 = 48.""]",48
train,((42 + 15) * (46 + 4)),"[""Compute 42 + 15 = 57."", ""Compute 46 + 4 = 50."", ""Compute 57 * 50 = 2850.""]",2850
train,(8 + 34),"[""Compute 8 + 34 = 42.""]",42
train,((37 + 22) * (21 - 16)),"[""Compute 37 + 22 = 59."", ""Compute 21 - 16 = 5."", ""Compute 59 * 5 = 295.""]",295
train,((32 * 46) * (47 * 16)),"[""Compute 32 * 46 = 1472."", ""Compute 47 * 16 = 752."", ""Compute 1472 * 752 = 1106944.""]",1106944
train,(27 - 34),"[""Compute 27 - 34 = -7.""]",-7
train,(36 + 18),"[""Compute 36 + 18 = 54.""]",54
train,(34 + 14),"[""Compute 34 + 14 = 48.""]",48
train,(28 * 17),"[""Compute 28 * 17 = 476.""]",476
train,(26 + 42),"[""Compute 26 + 42 = 68.""]",68
train,((2 + 27) + (19 - 41)),"[""Compute 2 + 27 = 29."", ""Compute 19 - 41 = -22."", ""Compute 29 + -22 = 7.""]",7
train,((33 - 28) + (7 + 41)),"[""Compute 33 - 28 = 5."", ""Compute 7 + 41 = 48."", ""Compute 5 + 48 = 53.""]",53
train,(45 - 15),"[""Compute 45 - 15 = 30.""]",30
train,((48 + 44) * (20 * 9)),"[""Compute 48 + 44 = 92."", ""Compute 20 * 9 = 180."", ""Compute 92 * 180 = 16560.""]",16560
train,((27 * 3) - (26 - 38)),"[""Compute 27 * 3 = 81."", ""Compute 26 - 38 = -12."", ""Compute 81 - -12 = 93.""]",93
train,(36 * 24),"[""Compute 36 * 24 = 864.""]",864
train,((31 * 16) + (1 - 30)),"[""Compute 31 * 16 = 496."", ""Compute 1 - 30 = -29."", ""Compute 496 + -29 = 467.""]",467
train,(19 - 50),"[""Compute 19 - 50 = -31.""]",-31
train,(45 * 32),"[""Compute 45 * 32 = 1440.""]",1440
train,(46 - 6),"[""Compute 46 - 6 = 40.""]",40
train,(5 - 14),"[""Compute 5 - 14 = -9.""]",-9
train,(19 - 47),"[""Compute 19 - 47 = -28.""]",-28
train,(27 + 49),"[""Compute 27 + 49 = 76.""]",76
train,(1 * 30),"[""Compute 1 * 30 = 30.""]",30
train,((40 * 50) * (13 * 35)),"[""Compute 40 * 50 = 2000."", ""Compute 13 * 35 = 455."", ""Compute 2000 * 455 = 910000.""]",910000
train,(42 * 13),"[""Compute 42 * 13 = 546.""]",546
train,((12 - 47) + (42 + 39)),"[""Compute 12 - 47 = -35."", ""Compute 42 + 39 = 81."", ""Compute -35 + 81 = 46.""]",46
train,(50 - 23),"[""Compute 50 - 23 = 27.""]",27
train,((20 + 26) - (27 - 15)),"[""Compute 20 + 26 = 46."", ""Compute 27 - 15 = 12."", ""Compute 46 - 12 = 34.""]",34
train,((42 * 21) * (19 - 48)),"[""Compute 42 * 21 = 882."", ""Compute 19 - 48 = -29."", ""Compute 882 * -29 = -25578.""]",-25578
train,((28 - 30) + (50 - 7)),"[""Compute 28 - 30 = -2."", ""Compute 50 - 7 = 43."", ""Compute -2 + 43 = 41.""]",41
train,((21 - 26) + (47 * 46)),"[""Compute 21 - 26 = -5."", ""Compute 47 * 46 = 2162."", ""Compute -5 + 2162 = 2157.""]",2157
train,((19 * 3) * (31 + 6)),"[""Compute 19 * 3 = 57."", ""Compute 31 + 6 = 37."", ""Compute 57 * 37 = 2109.""]",2109
train,((40 * 50) - (7 * 7)),"[""Compute 40 * 50 = 2000."", ""Compute 7 * 7 = 49."", ""Compute 2000 - 49 = 1951.""]",1951
train,(22 + 23),"[""Compute 22 + 23 = 45.""]",45
train,((48 - 14) + (16 * 13)),"[""Compute 48 - 14 = 34."", ""Compute 16 * 13 = 208."", ""Compute 34 + 208 = 242.""]",242
train,((49 * 4) + (43 * 45)),"[""Compute 49 * 4 = 196."", ""Compute 43 * 45 = 1935."", ""Compute 196 + 1935 = 2131.""]",2131
train,((3 - 14) * (2 * 3)),"[""Compute 3 - 14 = -11."", ""Compute 2 * 3 = 6."", ""Compute -11 * 6 = -66.""]",-66
train,((43 - 38) - (30 + 1)),"[""Compute 43 - 38 = 5."", ""Compute 30 + 1 = 31."", ""Compute 5 - 31 = -26.""]",-26
train,(22 * 21),"[""Compute 22 * 21 = 462.""]",462
train,(45 - 17),"[""Compute 45 - 17 = 28.""]",28
train,((23 + 20) * (33 * 3)),"[""Compute 23 + 20 = 43."", ""Compute 33 * 3 = 99."", ""Compute 43 * 99 = 4257.""]",4257
train,((29 * 44) + (37 + 41)),"[""Compute 29 * 44 = 1276."", ""Compute 37 + 41 = 78."", ""Compute 1276 + 78 = 1354.""]",1354
train,((22 * 33) * (22 - 31)),"[""Compute 22 * 33 = 726."", ""Compute 22 - 31 = -9."", ""Compute 726 * -9 = -6534.""]",-6534
train,((24 * 40) + (35 - 41)),"[""Compute 24 * 40 = 960."", ""Compute 35 - 41 = -6."", ""Compute 960 + -6 = 954.""]",954
train,((31 - 8) + (49 - 38)),"[""Compute 31 - 8 = 23."", ""Compute 49 - 38 = 11."", ""Compute 23 + 11 = 34.""]",34
train,((9 * 6) * (41 - 3)),"[""Compute 9 * 6 = 54."", ""Compute 41 - 3 = 38."", ""Compute 54 * 38 = 2052.""]",2052
train,(34 + 29),"[""Compute 34 + 29 = 63.""]",63
train,(35 * 22),"[""Compute 35 * 22 = 770.""]",770
